trial_id,trial_type,label,start_time,end_time,event_marker,duration,session_id,participant_id,block_number,trial_number,notes
trial_0001,motor_imagery_left,left,1770773661.880957,1770773675.466849,,13.58589220046997,session_20260210_203358,,1,1,Left motor imagery - Round 1
trial_0002,motor_imagery_right,right,1770773688.9274912,1770773692.9297578,,4.0022666454315186,session_20260210_203358,,1,2,Right motor imagery - Round 1
trial_0003,motor_imagery_left,left,1770773706.317214,1770773709.925984,,3.6087698936462402,session_20260210_203358,,1,3,Left motor imagery - Round 2
trial_0004,motor_imagery_right,right,1770773723.38952,1770773727.1012359,,3.7117159366607666,session_20260210_203358,,1,4,Right motor imagery - Round 2
trial_0005,motor_imagery_left,left,1770773740.484659,1770773744.214981,,3.7303221225738525,session_20260210_203358,,1,5,Left motor imagery - Round 3
trial_0006,motor_imagery_right,right,1770773757.6623518,1770773761.082695,,3.4203431606292725,session_20260210_203358,,1,6,Right motor imagery - Round 3
trial_0007,motor_imagery_left,left,1770773774.45239,1770773778.444673,,3.9922831058502197,session_20260210_203358,,1,7,Left motor imagery - Round 4
trial_0008,motor_imagery_right,right,1770773791.9284759,1770773795.354243,,3.425767183303833,session_20260210_203358,,1,8,Right motor imagery - Round 4
trial_0009,motor_imagery_left,left,1770773808.733355,1770773812.1497972,,3.4164421558380127,session_20260210_203358,,1,9,Left motor imagery - Round 5
trial_0010,motor_imagery_right,right,1770773825.608114,1770773828.9277031,,3.319589138031006,session_20260210_203358,,1,10,Right motor imagery - Round 5
trial_0011,motor_imagery_left,left,1770773842.316828,1770773846.0257869,,3.708958864212036,session_20260210_203358,,1,11,Left motor imagery - Round 6
trial_0012,motor_imagery_right,right,1770773859.498999,1770773862.933356,,3.434356927871704,session_20260210_203358,,1,12,Right motor imagery - Round 6
trial_0013,motor_imagery_left,left,1770773876.314603,1770773879.1020539,,2.7874507904052734,session_20260210_203358,,1,13,Left motor imagery - Round 7
trial_0014,motor_imagery_right,right,1770773892.5737338,1770773895.754358,,3.18062424659729,session_20260210_203358,,1,14,Right motor imagery - Round 7
trial_0015,motor_imagery_left,left,1770773909.138311,1770773912.146925,,3.0086140632629395,session_20260210_203358,,1,15,Left motor imagery - Round 8
trial_0016,motor_imagery_right,right,1770773925.613426,1770773929.1171489,,3.503722906112671,session_20260210_203358,,1,16,Right motor imagery - Round 8
trial_0017,motor_imagery_left,left,1770773942.5030148,1770773945.942349,,3.4393341541290283,session_20260210_203358,,1,17,Left motor imagery - Round 9
trial_0018,motor_imagery_right,right,1770773959.416626,1770773962.9778628,,3.56123685836792,session_20260210_203358,,1,18,Right motor imagery - Round 9
trial_0019,motor_imagery_left,left,1770773976.361495,1770773979.54054,,3.1790449619293213,session_20260210_203358,,1,19,Left motor imagery - Round 10
trial_0020,motor_imagery_right,right,1770773992.997805,1770773996.359616,,3.3618109226226807,session_20260210_203358,,1,20,Right motor imagery - Round 10
trial_0021,blink_intentional,blink,1770774012.6156108,1770774013.115629,1770774013.1156108,0.5000181198120117,session_20260210_203358,,1,21,Intentional blink
trial_0022,blink_intentional,blink,1770774013.787814,1770774014.287828,1770774014.287814,0.500014066696167,session_20260210_203358,,1,22,Intentional blink
trial_0023,blink_intentional,blink,1770774015.935755,1770774016.435769,1770774016.435755,0.500014066696167,session_20260210_203358,,1,23,Intentional blink
trial_0024,blink_intentional,blink,1770774017.66552,1770774018.165535,1770774018.16552,0.5000150203704834,session_20260210_203358,,1,24,Intentional blink
trial_0025,blink_intentional,blink,1770774019.137562,1770774019.637575,1770774019.637562,0.5000128746032715,session_20260210_203358,,1,25,Intentional blink
trial_0026,blink_intentional,blink,1770774020.9547389,1770774021.454754,1770774021.4547389,0.5000152587890625,session_20260210_203358,,1,26,Intentional blink
trial_0027,blink_intentional,blink,1770774023.082226,1770774023.582241,1770774023.582226,0.5000150203704834,session_20260210_203358,,1,27,Intentional blink
trial_0028,blink_intentional,blink,1770774024.3783932,1770774024.878408,1770774024.8783932,0.5000147819519043,session_20260210_203358,,1,28,Intentional blink
trial_0029,blink_intentional,blink,1770774025.532105,1770774026.032119,1770774026.032105,0.500014066696167,session_20260210_203358,,1,29,Intentional blink
trial_0030,blink_intentional,blink,1770774026.827302,1770774027.327323,1770774027.327302,0.5000209808349609,session_20260210_203358,,1,30,Intentional blink
