trial_id,trial_type,label,start_time,end_time,event_marker,duration,session_id,participant_id,block_number,trial_number,notes
trial_0001,motor_imagery_left,left,1770773164.463563,1770773169.120547,,4.656984090805054,session_20260210_202534,,1,1,Left motor imagery - Round 1
trial_0002,motor_imagery_right,right,1770773182.5897448,1770773186.6912398,,4.101495027542114,session_20260210_202534,,1,2,Right motor imagery - Round 1
trial_0003,motor_imagery_left,left,1770773200.0686111,1770773203.65974,,3.5911288261413574,session_20260210_202534,,1,3,Left motor imagery - Round 2
trial_0004,motor_imagery_right,right,1770773217.1276531,1770773220.425259,,3.2976059913635254,session_20260210_202534,,1,4,Right motor imagery - Round 2
trial_0005,motor_imagery_left,left,1770773233.79801,1770773238.723052,,4.925041913986206,session_20260210_202534,,1,5,Left motor imagery - Round 3
trial_0006,motor_imagery_right,right,1770773252.19377,1770773256.197603,,4.003833055496216,session_20260210_202534,,1,6,Right motor imagery - Round 3
trial_0007,motor_imagery_left,left,1770773269.581334,1770773272.8881652,,3.306831121444702,session_20260210_202534,,1,7,Left motor imagery - Round 4
trial_0008,motor_imagery_right,right,1770773286.351769,1770773289.569586,,3.2178170680999756,session_20260210_202534,,1,8,Right motor imagery - Round 4
trial_0009,motor_imagery_left,left,1770773302.936366,1770773306.755827,,3.819460868835449,session_20260210_202534,,1,9,Left motor imagery - Round 5
trial_0010,motor_imagery_right,right,1770773320.213784,1770773322.7593431,,2.5455591678619385,session_20260210_202534,,1,10,Right motor imagery - Round 5
trial_0011,motor_imagery_left,left,1770773336.152659,1770773339.715771,,3.5631120204925537,session_20260210_202534,,1,11,Left motor imagery - Round 6
trial_0012,motor_imagery_right,right,1770773353.174792,1770773355.8926778,,2.717885732650757,session_20260210_202534,,1,12,Right motor imagery - Round 6
trial_0013,motor_imagery_left,left,1770773369.277917,1770773371.9590132,,2.681096315383911,session_20260210_202534,,1,13,Left motor imagery - Round 7
trial_0014,motor_imagery_right,right,1770773385.4260979,1770773387.8038862,,2.3777883052825928,session_20260210_202534,,1,14,Right motor imagery - Round 7
trial_0015,motor_imagery_left,left,1770773401.196128,1770773403.703187,,2.507059097290039,session_20260210_202534,,1,15,Left motor imagery - Round 8
trial_0016,motor_imagery_right,right,1770773417.15655,1770773419.498993,,2.3424429893493652,session_20260210_202534,,1,16,Right motor imagery - Round 8
trial_0017,motor_imagery_left,left,1770773432.8760571,1770773436.1128352,,3.2367780208587646,session_20260210_202534,,1,17,Left motor imagery - Round 9
trial_0018,motor_imagery_right,right,1770773449.57816,1770773452.527874,,2.949713945388794,session_20260210_202534,,1,18,Right motor imagery - Round 9
trial_0019,motor_imagery_left,left,1770773465.912651,1770773469.010377,,3.0977258682250977,session_20260210_202534,,1,19,Left motor imagery - Round 10
trial_0020,motor_imagery_right,right,1770773482.485705,1770773485.4960482,,3.010343313217163,session_20260210_202534,,1,20,Right motor imagery - Round 10
trial_0021,blink_intentional,blink,1770773500.976491,1770773501.4765089,1770773501.476491,0.5000178813934326,session_20260210_202534,,1,21,Intentional blink
trial_0022,blink_intentional,blink,1770773501.9061089,1770773502.406126,1770773502.4061089,0.5000171661376953,session_20260210_202534,,1,22,Intentional blink
trial_0023,blink_intentional,blink,1770773503.125751,1770773503.6257658,1770773503.625751,0.5000147819519043,session_20260210_202534,,1,23,Intentional blink
trial_0024,blink_intentional,blink,1770773504.301701,1770773504.801718,1770773504.801701,0.5000169277191162,session_20260210_202534,,1,24,Intentional blink
trial_0025,blink_intentional,blink,1770773505.40902,1770773505.909037,1770773505.90902,0.5000171661376953,session_20260210_202534,,1,25,Intentional blink
trial_0026,blink_intentional,blink,1770773506.6353579,1770773507.135372,1770773507.1353579,0.500014066696167,session_20260210_202534,,1,26,Intentional blink
trial_0027,blink_intentional,blink,1770773507.835391,1770773508.335405,1770773508.335391,0.500014066696167,session_20260210_202534,,1,27,Intentional blink
trial_0028,blink_intentional,blink,1770773508.9683871,1770773509.4684072,1770773509.4683871,0.5000200271606445,session_20260210_202534,,1,28,Intentional blink
trial_0029,blink_intentional,blink,1770773510.051736,1770773510.551755,1770773510.551736,0.500018835067749,session_20260210_202534,,1,29,Intentional blink
trial_0030,blink_intentional,blink,1770773511.084996,1770773511.5850098,1770773511.584996,0.5000138282775879,session_20260210_202534,,1,30,Intentional blink
