trial_id,trial_type,label,start_time,end_time,event_marker,duration,session_id,participant_id,block_number,trial_number,notes
trial_0001,motor_imagery_left,left,1770774302.80412,1770774306.659025,,3.854904890060425,session_20260210_204439,,1,1,Left motor imagery - Round 1
trial_0002,motor_imagery_right,right,1770774320.1261609,1770774324.195925,,4.069764137268066,session_20260210_204439,,1,2,Right motor imagery - Round 1
trial_0003,motor_imagery_left,left,1770774337.573868,1770774339.400624,,1.8267560005187988,session_20260210_204439,,1,3,Left motor imagery - Round 2
trial_0004,motor_imagery_right,right,1770774352.860416,1770774356.350807,,3.4903910160064697,session_20260210_204439,,1,4,Right motor imagery - Round 2
trial_0005,motor_imagery_left,left,1770774369.7203379,1770774372.659471,,2.9391331672668457,session_20260210_204439,,1,5,Left motor imagery - Round 3
trial_0006,motor_imagery_right,right,1770774386.118277,1770774388.6737149,,2.5554378032684326,session_20260210_204439,,1,6,Right motor imagery - Round 3
trial_0007,motor_imagery_left,left,1770774402.048976,1770774405.569031,,3.520055055618286,session_20260210_204439,,1,7,Left motor imagery - Round 4
trial_0008,motor_imagery_right,right,1770774419.037559,1770774421.145781,,2.108222007751465,session_20260210_204439,,1,8,Right motor imagery - Round 4
trial_0009,motor_imagery_left,left,1770774434.53887,1770774436.896964,,2.3580939769744873,session_20260210_204439,,1,9,Left motor imagery - Round 5
trial_0010,motor_imagery_right,right,1770774450.342081,1770774453.736193,,3.3941118717193604,session_20260210_204439,,1,10,Right motor imagery - Round 5
trial_0011,motor_imagery_left,left,1770774467.112011,1770774469.1582232,,2.0462121963500977,session_20260210_204439,,1,11,Left motor imagery - Round 6
trial_0012,motor_imagery_right,right,1770774482.6192179,1770774486.713296,,4.094078063964844,session_20260210_204439,,1,12,Right motor imagery - Round 6
trial_0013,motor_imagery_left,left,1770774500.1081479,1770774501.816,,1.7078521251678467,session_20260210_204439,,1,13,Left motor imagery - Round 7
trial_0014,motor_imagery_right,right,1770774515.267197,1770774517.656217,,2.3890202045440674,session_20260210_204439,,1,14,Right motor imagery - Round 7
trial_0015,motor_imagery_left,left,1770774531.0310621,1770774533.436818,,2.4057557582855225,session_20260210_204439,,1,15,Left motor imagery - Round 8
trial_0016,motor_imagery_right,right,1770774546.9088662,1770774550.7299058,,3.8210396766662598,session_20260210_204439,,1,16,Right motor imagery - Round 8
trial_0017,motor_imagery_left,left,1770774564.1195982,1770774569.3070562,,5.187458038330078,session_20260210_204439,,1,17,Left motor imagery - Round 9
trial_0018,motor_imagery_right,right,1770774582.8047202,1770774585.441461,,2.6367409229278564,session_20260210_204439,,1,18,Right motor imagery - Round 9
trial_0019,motor_imagery_left,left,1770774598.829652,1770774601.450512,,2.6208598613739014,session_20260210_204439,,1,19,Left motor imagery - Round 10
trial_0020,motor_imagery_right,right,1770774614.9108741,1770774617.912135,,3.001260757446289,session_20260210_204439,,1,20,Right motor imagery - Round 10
trial_0021,blink_intentional,blink,1770774633.612999,1770774634.113018,1770774634.112999,0.5000190734863281,session_20260210_204439,,1,21,Intentional blink
trial_0022,blink_intentional,blink,1770774635.5959392,1770774636.095953,1770774636.0959392,0.5000138282775879,session_20260210_204439,,1,22,Intentional blink
trial_0023,blink_intentional,blink,1770774637.8293068,1770774638.329322,1770774638.3293068,0.5000152587890625,session_20260210_204439,,1,23,Intentional blink
trial_0024,blink_intentional,blink,1770774639.1630132,1770774639.663028,1770774639.6630132,0.5000147819519043,session_20260210_204439,,1,24,Intentional blink
trial_0025,blink_intentional,blink,1770774640.7328079,1770774641.232834,1770774641.2328079,0.5000262260437012,session_20260210_204439,,1,25,Intentional blink
trial_0026,blink_intentional,blink,1770774642.2504299,1770774642.750444,1770774642.7504299,0.500014066696167,session_20260210_204439,,1,26,Intentional blink
trial_0027,blink_intentional,blink,1770774643.33264,1770774643.8326552,1770774643.83264,0.5000152587890625,session_20260210_204439,,1,27,Intentional blink
trial_0028,blink_intentional,blink,1770774644.499261,1770774644.999276,1770774644.999261,0.5000150203704834,session_20260210_204439,,1,28,Intentional blink
trial_0029,blink_intentional,blink,1770774645.792052,1770774646.292066,1770774646.292052,0.500014066696167,session_20260210_204439,,1,29,Intentional blink
trial_0030,blink_intentional,blink,1770774646.983074,1770774647.483087,1770774647.483074,0.5000131130218506,session_20260210_204439,,1,30,Intentional blink
