timestamp,marker_code,marker_label,EEG_0,EEG_1,EEG_2,EEG_3
1770774292.349359,,,-21.97265625,3.90625,849.609375,-47.36328125
1770774292.3518782,,,41.9921875,-18.06640625,855.46875,-38.0859375
1770774292.3543973,,,-20.01953125,-50.78125,929.6875,-77.63671875
1770774292.3569162,,,-66.89453125,-21.484375,674.31640625,2.44140625
1770774292.3594353,,,-5.859375,-45.41015625,372.0703125,71.2890625
1770774292.3619545,,,17.08984375,-38.0859375,693.359375,-8.30078125
1770774292.3644736,,,-0.9765625,-46.38671875,771.97265625,-27.83203125
1770774292.3669927,,,-19.53125,-47.36328125,869.140625,-20.5078125
1770774292.3695118,,,2.9296875,-13.671875,982.91015625,-37.109375
1770774292.3720307,,,-12.6953125,-29.78515625,925.78125,-34.1796875
1770774292.3745499,,,-37.109375,-39.55078125,999.51171875,-43.45703125
1770774292.377069,,,-16.11328125,-48.828125,620.60546875,-47.36328125
1770774292.382097,,,-0.9765625,-48.828125,301.26953125,-12.20703125
1770774292.387125,,,-13.671875,-21.97265625,916.015625,-40.0390625
1770774292.392153,,,-23.92578125,-36.1328125,995.1171875,-41.50390625
1770774292.397181,,,-26.3671875,-31.73828125,934.08203125,-42.48046875
1770774292.402209,,,-45.41015625,-28.3203125,988.76953125,-67.3828125
1770774292.407237,,,-14.6484375,-36.1328125,786.62109375,-40.52734375
1770774292.412265,,,-16.6015625,-29.296875,691.40625,-34.66796875
1770774292.417293,,,-47.8515625,-23.4375,166.50390625,-62.01171875
1770774292.422321,,,-41.9921875,-22.94921875,-75.68359375,-82.51953125
1770774292.427349,,,5.859375,-28.3203125,742.67578125,-61.03515625
1770774292.432377,,,19.53125,-27.34375,898.4375,-32.71484375
1770774292.437405,,,-7.8125,-24.4140625,792.96875,-44.43359375
1770774292.4434783,,,-41.9921875,-18.5546875,680.6640625,-67.87109375
1770774292.4495518,,,-42.96875,-18.5546875,666.50390625,-45.41015625
1770774292.455625,,,-1.953125,-35.64453125,515.625,-16.6015625
1770774292.4616983,,,-18.06640625,-48.33984375,331.0546875,-44.43359375
1770774292.4677718,,,-48.828125,-38.57421875,418.9453125,-55.17578125
1770774292.473845,,,-11.23046875,-35.64453125,210.44921875,-37.109375
1770774292.4799182,,,6.8359375,-31.25,46.875,-29.296875
1770774292.4859917,,,-21.97265625,-17.578125,164.55078125,-20.5078125
1770774292.492065,,,-44.921875,-12.20703125,188.4765625,-45.8984375
1770774292.4981382,,,-48.828125,-30.2734375,120.60546875,-60.05859375
1770774292.5042117,,,-28.3203125,-50.78125,-419.921875,-33.203125
1770774292.510285,,,-18.06640625,-49.31640625,-936.03515625,-14.6484375
1770774292.5117981,,,-42.48046875,-32.71484375,-426.7578125,-37.109375
1770774292.5133114,,,-56.15234375,-31.73828125,-125.0,-59.5703125
1770774292.5148246,,,-33.203125,-47.8515625,-194.82421875,-38.0859375
1770774292.5163379,,,-29.78515625,-64.94140625,-246.09375,-32.2265625
1770774292.517851,,,-52.734375,-51.26953125,-322.75390625,-48.33984375
1770774292.5193644,,,-58.59375,-36.62109375,-630.859375,-59.5703125
1770774292.5208778,,,-42.96875,-45.8984375,-971.19140625,-37.109375
1770774292.522391,,,-44.921875,-41.50390625,-838.37890625,-23.92578125
1770774292.5239043,,,-41.50390625,-36.62109375,-630.859375,-48.33984375
1770774292.5254176,,,-61.5234375,-47.36328125,-795.8984375,-61.5234375
1770774292.5269308,,,-57.6171875,-45.41015625,-962.40234375,-57.12890625
1770774292.528444,,,-19.04296875,-38.0859375,-922.8515625,-31.25
1770774292.5320926,,,-38.0859375,-43.9453125,-940.4296875,-30.76171875
1770774292.5357413,,,-57.6171875,-64.94140625,-996.58203125,-34.1796875
1770774292.5393898,,,-53.7109375,-77.63671875,-1000.0,-18.5546875
1770774292.5430384,,,-35.15625,-57.12890625,-998.53515625,-37.59765625
1770774292.546687,,,-22.4609375,-49.31640625,-1000.0,-41.9921875
1770774292.5503354,,,-39.0625,-45.8984375,-1000.0,-28.3203125
1770774292.5539842,,,-49.8046875,-37.59765625,-1000.0,-25.87890625
1770774292.5576327,,,-15.625,-48.33984375,-1000.0,-18.06640625
1770774292.5612812,,,4.39453125,-37.59765625,-1000.0,-10.7421875
1770774292.56493,,,0.9765625,-33.203125,-1000.0,1.953125
1770774292.5685785,,,-14.16015625,-44.43359375,-1000.0,-12.20703125
1770774292.572227,,,3.90625,-41.9921875,-1000.0,0.48828125
1770774292.5760643,,,30.2734375,-49.8046875,-1000.0,29.296875
