timestamp,marker_code,marker_label,EEG_0,EEG_1,EEG_2,EEG_3
1770773150.2957635,,,-90.33203125,-44.921875,-363.76953125,-19.04296875
1770773150.3007038,,,-78.125,-48.828125,-394.04296875,-11.71875
1770773150.3056443,,,-92.7734375,-44.43359375,-375.48828125,-35.15625
1770773150.3105845,,,-90.33203125,-47.8515625,-639.6484375,-26.85546875
1770773150.315525,,,-72.265625,-50.78125,-840.33203125,-8.30078125
1770773150.3204653,,,-63.96484375,-48.828125,-710.9375,-10.25390625
1770773150.3254058,,,-77.1484375,-54.6875,-741.69921875,-28.80859375
1770773150.3303463,,,-96.6796875,-58.59375,-544.921875,-34.1796875
1770773150.3352866,,,-83.0078125,-59.5703125,-398.92578125,-8.7890625
1770773150.3402271,,,-58.59375,-55.17578125,-392.08984375,-3.90625
1770773150.3451674,,,-65.4296875,-51.26953125,-307.12890625,-15.13671875
1770773150.350108,,,-84.9609375,-54.19921875,-685.546875,-5.859375
1770773150.3549688,,,-75.68359375,-51.26953125,-874.0234375,6.34765625
1770773150.3598297,,,-49.31640625,-51.26953125,-425.78125,-9.765625
1770773150.3646908,,,-49.31640625,-54.6875,-326.171875,-25.390625
1770773150.3695517,,,-74.70703125,-53.7109375,-371.09375,-41.9921875
1770773150.3744125,,,-80.078125,-53.22265625,-403.80859375,-31.25
1770773150.3792734,,,-68.359375,-55.6640625,-593.75,-24.4140625
1770773150.3841343,,,-57.6171875,-55.6640625,-753.41796875,-30.2734375
1770773150.3889952,,,-83.49609375,-52.734375,-865.72265625,-49.31640625
1770773150.3938563,,,-86.9140625,-53.22265625,-629.39453125,-58.59375
1770773150.3987172,,,-62.01171875,-49.31640625,-326.66015625,-28.80859375
1770773150.403578,,,-41.50390625,-45.8984375,-327.1484375,-16.11328125
1770773150.408439,,,-33.69140625,-43.9453125,-373.046875,-25.87890625
1770773150.4087832,,,-36.62109375,-40.0390625,-408.203125,-36.62109375
1770773150.4091272,,,-28.3203125,-35.15625,-354.4921875,-25.390625
1770773150.4094715,,,-5.37109375,-38.0859375,-535.15625,7.32421875
1770773150.4098155,,,-11.71875,-40.52734375,-947.75390625,-0.48828125
1770773150.4101598,,,-37.59765625,-35.64453125,-709.47265625,-39.55078125
1770773150.4105039,,,-22.94921875,-39.55078125,-532.71484375,-32.2265625
1770773150.4108481,,,-15.625,-47.36328125,-622.55859375,-28.80859375
1770773150.4111924,,,-4.8828125,-48.33984375,-445.80078125,-31.73828125
1770773150.4115365,,,-16.11328125,-52.734375,-376.953125,-39.55078125
1770773150.4118807,,,-32.71484375,-60.546875,-301.7578125,-41.9921875
1770773150.4122248,,,-18.06640625,-62.5,-666.9921875,7.32421875
1770773150.412569,,,-6.34765625,-54.6875,-832.51953125,3.90625
1770773150.4197876,,,-24.90234375,-46.38671875,-370.60546875,-39.55078125
1770773150.427006,,,-34.1796875,-44.43359375,-293.9453125,-23.4375
1770773150.4342246,,,-24.4140625,-46.38671875,-316.89453125,-10.25390625
1770773150.441443,,,-20.01953125,-45.41015625,-301.26953125,-11.71875
1770773150.4486616,,,-28.3203125,-41.9921875,-334.47265625,-20.5078125
1770773150.45588,,,-48.33984375,-44.921875,-580.078125,-25.390625
1770773150.4630985,,,-51.26953125,-44.921875,-921.38671875,-2.9296875
1770773150.4703171,,,-46.875,-47.36328125,-886.23046875,-12.6953125
1770773150.4775355,,,-27.34375,-46.875,-416.9921875,-42.48046875
1770773150.484754,,,-38.0859375,-43.9453125,-229.98046875,-34.1796875
1770773150.4919724,,,-56.640625,-50.29296875,-368.1640625,-21.484375
1770773150.499191,,,-40.0390625,-51.7578125,-382.32421875,-14.6484375
1770773150.5021842,,,-34.66796875,-45.8984375,-221.19140625,-17.08984375
1770773150.5051775,,,-44.921875,-52.24609375,-442.3828125,-26.85546875
1770773150.5081706,,,-68.84765625,-60.546875,-741.69921875,-39.0625
1770773150.5111637,,,-69.3359375,-61.03515625,-439.453125,-38.57421875
1770773150.5141568,,,-46.875,-60.05859375,-299.8046875,-21.97265625
1770773150.51715,,,-64.453125,-62.5,-555.17578125,-26.85546875
1770773150.5201433,,,-82.51953125,-67.87109375,-641.11328125,-33.69140625
1770773150.5231364,,,-72.75390625,-61.5234375,-433.59375,-21.97265625
1770773150.5261295,,,-56.640625,-49.31640625,-217.7734375,-8.7890625
1770773150.5291228,,,-58.10546875,-52.24609375,-583.0078125,3.90625
1770773150.532116,,,-84.47265625,-55.6640625,-991.69921875,-12.6953125
1770773150.535109,,,-81.0546875,-52.24609375,-542.96875,-22.94921875
1770773150.537247,,,-49.8046875,-50.29296875,-222.65625,0.9765625
1770773150.539385,,,-43.45703125,-51.7578125,-220.21484375,5.37109375
1770773150.541523,,,-68.359375,-50.78125,-288.0859375,0.48828125
1770773150.543661,,,-69.82421875,-48.828125,-270.5078125,0.9765625
1770773150.545799,,,-59.5703125,-54.6875,-328.125,19.04296875
1770773150.547937,,,-70.80078125,-56.640625,-707.03125,18.06640625
1770773150.550075,,,-92.28515625,-61.03515625,-789.55078125,-6.34765625
1770773150.552213,,,-97.16796875,-63.96484375,-605.95703125,-11.71875
1770773150.554351,,,-81.54296875,-60.05859375,-371.58203125,-3.90625
1770773150.556489,,,-68.84765625,-62.98828125,-266.6015625,-11.23046875
1770773150.5586271,,,-68.84765625,-63.4765625,-335.44921875,-17.578125
1770773150.560765,,,-93.26171875,-61.5234375,-326.66015625,-19.53125
1770773150.5645182,,,-88.8671875,-62.5,-412.59765625,-15.13671875
1770773150.5682712,,,-70.80078125,-70.3125,-908.203125,15.13671875
1770773150.5720243,,,-87.40234375,-72.265625,-823.2421875,-15.13671875
1770773150.5757773,,,-97.16796875,-66.89453125,-337.890625,-44.43359375
1770773150.5795305,,,-83.0078125,-64.94140625,-526.85546875,-10.7421875
1770773150.5832837,,,-65.4296875,-74.21875,-827.1484375,-3.41796875
1770773150.5870366,,,-55.6640625,-76.171875,-594.23828125,-21.97265625
1770773150.5907898,,,-65.4296875,-64.94140625,-292.96875,-39.55078125
1770773150.5945427,,,-78.61328125,-66.89453125,-595.21484375,-15.625
1770773150.598296,,,-66.40625,-62.98828125,-943.359375,1.953125
1770773150.6020489,,,-52.24609375,-52.24609375,-486.81640625,-32.2265625
1770773150.605802,,,-69.3359375,-55.6640625,-173.828125,-41.50390625
1770773150.6096704,,,-97.16796875,-62.98828125,-615.72265625,-33.203125
1770773150.6135387,,,-92.28515625,-61.5234375,-713.8671875,-28.3203125
1770773150.617407,,,-68.359375,-63.4765625,-257.32421875,-24.90234375
1770773150.6212754,,,-72.265625,-66.40625,-272.4609375,-26.85546875
1770773150.6251438,,,-98.6328125,-68.84765625,-494.140625,-44.921875
1770773150.6290119,,,-92.7734375,-72.75390625,-639.6484375,-39.0625
1770773150.6328802,,,-69.82421875,-66.40625,-517.08984375,-22.4609375
1770773150.6367486,,,-64.94140625,-69.3359375,-303.7109375,-35.64453125
1770773150.640617,,,-83.0078125,-71.2890625,-724.609375,-36.62109375
1770773150.6444852,,,-94.7265625,-62.5,-709.47265625,-43.9453125
1770773150.6483536,,,-64.94140625,-62.5,-170.8984375,-46.875
1770773150.652222,,,-58.10546875,-67.3828125,-291.50390625,-39.55078125
1770773150.6571562,,,-84.47265625,-67.3828125,-592.28515625,-46.38671875
1770773150.6620903,,,-82.51953125,-65.4296875,-530.76171875,-48.828125
1770773150.6670246,,,-61.03515625,-59.08203125,-221.6796875,-43.45703125
1770773150.671959,,,-43.45703125,-57.6171875,-383.7890625,-21.97265625
1770773150.6768932,,,-61.5234375,-68.84765625,-752.44140625,-28.80859375
1770773150.6818275,,,-82.51953125,-72.265625,-675.29296875,-48.33984375
1770773150.6867616,,,-66.40625,-69.3359375,-411.1328125,-42.96875
1770773150.691696,,,-43.45703125,-62.5,-481.93359375,-12.6953125
1770773150.6966302,,,-59.08203125,-57.6171875,-963.8671875,-11.23046875
1770773150.7015643,,,-85.9375,-50.78125,-538.57421875,-50.78125
1770773150.7064986,,,-61.03515625,-45.8984375,-112.3046875,-26.3671875
1770773150.711433,,,-41.50390625,-49.8046875,-339.84375,-3.90625
1770773150.715191,,,-53.7109375,-52.24609375,-311.5234375,-15.13671875
1770773150.7189488,,,-70.3125,-55.6640625,-154.296875,-23.92578125
1770773150.7227068,,,-83.0078125,-60.05859375,-217.28515625,-14.6484375
1770773150.7264645,,,-78.125,-60.05859375,-355.46875,-10.25390625
1770773150.7302225,,,-68.84765625,-62.98828125,-432.6171875,-21.484375
1770773150.7339804,,,-83.984375,-67.87109375,-552.734375,-41.50390625
1770773150.7377384,,,-99.609375,-67.3828125,-635.7421875,-43.9453125
1770773150.7414963,,,-93.26171875,-62.5,-637.6953125,-40.52734375
1770773150.7452543,,,-85.9375,-63.96484375,-410.64453125,-46.875
1770773150.749012,,,-87.40234375,-67.3828125,-253.41796875,-53.7109375
1770773150.75277,,,-91.796875,-63.96484375,-378.90625,-56.15234375
1770773150.756528,,,-90.33203125,-60.546875,-854.98046875,-18.5546875
1770773150.7589667,,,-68.359375,-59.08203125,-810.05859375,-25.390625
1770773150.7614055,,,-52.24609375,-53.22265625,-279.296875,-60.546875
1770773150.7638443,,,-69.3359375,-50.29296875,-443.359375,-45.8984375
1770773150.766283,,,-75.68359375,-57.12890625,-516.6015625,-30.76171875
1770773150.7687218,,,-53.22265625,-59.5703125,-254.39453125,-26.85546875
1770773150.7711604,,,-44.921875,-55.6640625,-412.59765625,-25.390625
1770773150.7735991,,,-77.1484375,-57.6171875,-783.203125,-37.109375
1770773150.776038,,,-93.26171875,-55.17578125,-735.3515625,-37.109375
1770773150.7784767,,,-67.87109375,-51.26953125,-483.3984375,-23.92578125
1770773150.7809155,,,-49.8046875,-51.26953125,-290.52734375,-29.78515625
1770773150.7833543,,,-70.80078125,-55.6640625,-562.98828125,-20.99609375
1770773150.785793,,,-93.75,-58.10546875,-996.58203125,-12.20703125
1770773150.7908523,,,-86.9140625,-54.6875,-513.18359375,-36.1328125
1770773150.7959118,,,-55.6640625,-51.7578125,-173.33984375,-25.390625
